stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
449,469,Autos Marí (469),,38.882175,1.378882,1775,https://eivissa.tib.org/web/cie/parades/-/parada/469
450,466,Sant Jordi (466),,38.89027,1.396573,1898,https://eivissa.tib.org/web/cie/parades/-/parada/466
451,467,Maripol Royal (467),,38.885387,1.391892,2094,https://eivissa.tib.org/web/cie/parades/-/parada/467
452,464,IES Algarb (464),,38.89898,1.397272,1892,https://eivissa.tib.org/web/cie/parades/-/parada/464
453,465,encreuament platja d'en Bossa (465),,38.89443,1.399825,2132,https://eivissa.tib.org/web/cie/parades/-/parada/465
454,460,Bar Astro (460),,38.905453,1.415917,2097,https://eivissa.tib.org/web/cie/parades/-/parada/460
455,459,SEAT (459),,38.904644,1.411879,2075,https://eivissa.tib.org/web/cie/parades/-/parada/459
456,458,Renault (458),,38.904076,1.409274,1728,https://eivissa.tib.org/web/cie/parades/-/parada/458
457,457,Cas Tabaquet (457),,38.90355,1.405991,1906,https://eivissa.tib.org/web/cie/parades/-/parada/457
458,456,Can Cendón (456),,38.902756,1.402,1969,https://eivissa.tib.org/web/cie/parades/-/parada/456
459,455,Can Cardonet (455),,38.90139,1.395231,2082,https://eivissa.tib.org/web/cie/parades/-/parada/455
460,454,Can Bellotera (454),,38.900154,1.389335,2001,https://eivissa.tib.org/web/cie/parades/-/parada/454
461,453,Can Manyà (453),,38.89828,1.379723,2000,https://eivissa.tib.org/web/cie/parades/-/parada/453
462,452,Can Verdera (452),,38.89632,1.369864,1893,https://eivissa.tib.org/web/cie/parades/-/parada/452
463,451,es Mig Terç (451),,38.895367,1.36508,1711,https://eivissa.tib.org/web/cie/parades/-/parada/451
464,450,Ca n'Andreu (450),,38.893414,1.355108,1613,https://eivissa.tib.org/web/cie/parades/-/parada/450
465,449,"sa Casilla, Sant Antoni (449)",,38.892307,1.347584,1641,https://eivissa.tib.org/web/cie/parades/-/parada/449
466,448,s'Aljub (448),,38.893837,1.339392,1824,https://eivissa.tib.org/web/cie/parades/-/parada/448
467,510,urb. Siesta (510),,38.981354,1.52314,1675,https://eivissa.tib.org/web/cie/parades/-/parada/510
468,511,Bar sa Font (511),,38.97905,1.517513,1816,https://eivissa.tib.org/web/cie/parades/-/parada/511
